,PhyloP,SPOTD.Info,PPH.dScore,Blosum62,PPH.PHAT,Grantham,SubDiffKDHydro,dProp,dVol,AveSeqDist,SPOTD.CN,SPOTD.HSEu,SPOTD.HSEd,SPOTD.ASA,DSSP.NormASA,B.Mean,B.Zscore,IntCont,ExtCont,BiolHetCont,Hb.Tot,Hb.Inter,Hb.Intra,Hb.IntraDist,Hb.SM,Hb.SS,SPOTD.PDisorder,SPOTD.PCoil,SPOTD.PSheet,SPOTD.PHelix,MaestroddG,FoldXddG
PhyloP,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOTD.Info,0.3137131587021396,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPH.dScore,0.24038906554172287,0.35824530435449026,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blosum62,-0.10434703041157381,-0.15903424041187614,-0.5394461948316346,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPH.PHAT,-0.04370431462072144,-0.16408311408087317,-0.4749612355798087,0.771359450300371,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grantham,0.1018010926303143,0.16918549847847686,0.4600695525103698,-0.8158541752286727,-0.6709229005580845,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SubDiffKDHydro,-0.07930307825452793,0.04824898750984268,-0.04077993430746986,-0.051736460522174545,0.22694653304607718,0.02936489409253737,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
dProp,0.1033920186910357,0.005210348892497643,-0.04860911680780472,0.0641685765904327,-0.2210878007679799,-0.004414193224436728,-0.8412701657601112,1.0,,,,,,,,,,,,,,,,,,,,,,,,
dVol,0.033233718515750035,0.009996314688720994,0.10566075145936561,-0.047379492499550695,-0.038707468745806654,0.0537208324182142,-0.11786274762661447,0.05196481989889681,1.0,,,,,,,,,,,,,,,,,,,,,,,
AveSeqDist,0.09747059941887112,0.19346055821788105,0.12790124347791132,-0.02605584184418856,-0.02253635878398551,0.0003236481028409038,0.029619114355782294,-0.013546051995330278,-0.09395739589604538,1.0,,,,,,,,,,,,,,,,,,,,,,
SPOTD.CN,0.2376382940936434,0.29542684837414845,0.19961283815949446,-0.04352994874522594,0.04757428520783749,0.02667168353997667,-0.16872678173605007,0.15523913122796118,-0.01389487817854823,0.3178360992080877,1.0,,,,,,,,,,,,,,,,,,,,,
SPOTD.HSEu,0.2295459415726919,0.3269180770082345,0.21674401111509703,-0.0793228199669596,0.12582964457763976,0.060034908309013466,-0.2927565602877073,0.27089876712561156,-0.020617124880394258,0.2680691234442937,0.8527482310668536,1.0,,,,,,,,,,,,,,,,,,,,
SPOTD.HSEd,0.12623456763422075,0.11586439446737494,0.08056245473830022,0.025651625949160674,-0.0424596472825801,-0.030011795867080505,0.030843972164306836,-0.03497632688293447,-0.0002895064601241538,0.23285400780768264,0.7504176236891452,0.32648177368544706,1.0,,,,,,,,,,,,,,,,,,,
SPOTD.ASA,-0.2070061612844498,-0.2761270972507111,-0.17623388335513263,0.10290701363682918,-0.07678908688969929,-0.10556150941498285,0.44966582938532185,-0.4103905987104966,-0.25475690148437713,-0.11245463337436662,-0.618133874174222,-0.7535437782045099,-0.21112721710405238,1.0,,,,,,,,,,,,,,,,,,
DSSP.NormASA,-0.2310802855009772,-0.3187884689357113,-0.20626247634093625,0.04786446793904981,-0.06448691479983906,-0.03783733687465436,0.16339836676993935,-0.16194551222902615,-0.04795052401158336,-0.3740298162959945,-0.49808896417624504,-0.5213453736622573,-0.2463729521082336,0.5497162650409019,1.0,,,,,,,,,,,,,,,,,
B.Mean,0.010610354900620695,-0.1549771626259737,-0.03796805593676326,0.01215094837272257,-0.12205112283686494,6.556523843985688e-05,0.005496054802686588,-0.012508793708689172,0.003206511057548713,-0.14336686491459388,-0.02748046580260241,-0.012584537214821721,-0.03863506235863966,0.13221904904538934,0.25867576478123,1.0,,,,,,,,,,,,,,,,
B.Zscore,-0.1401983791015803,-0.17892348574285236,-0.13072532474579138,0.03359728019097618,-0.06846676661683991,-0.029595802715193017,0.06623754226238086,-0.07040970458023256,-0.019018818369524883,-0.26197491419157226,-0.3207583881532418,-0.27173900379282273,-0.23615813206088584,0.2771871972035773,0.4368687557807505,0.398869857042017,1.0,,,,,,,,,,,,,,,
IntCont,0.13485148771980032,0.31177125006714407,0.20231276157936984,-0.04180608428186672,-0.06684501599860315,0.021560902136589226,-0.006918648666461802,0.029005710842228517,-0.22909256516489115,0.5019826708413835,0.47670269597453907,0.46678506601856296,0.27754575726186764,-0.293375841132346,-0.6697404308265799,-0.19934006255727002,-0.33852960902983215,1.0,,,,,,,,,,,,,,
ExtCont,0.016016005070678588,-0.014931710784290083,-0.02420232850044965,0.01081166350068209,0.08304173272604568,-0.014865039104923693,0.0841746359756826,-0.06890997121999098,-0.06393719292023249,-0.23299025571289322,-0.2063670307502378,-0.225645060089116,-0.11409164386653363,0.18887991850087693,0.0050702934952400035,-0.10617344374283345,-0.05469518995234485,-0.2855150113354495,1.0,,,,,,,,,,,,,
BiolHetCont,0.07294239798927493,0.15905442306804637,0.055149664037678174,0.008575725821087163,0.0007735758972126638,0.011635584965023435,0.024099852037654766,-0.003525728716549953,0.0038680759553472747,0.014095485575657884,0.026528354120881628,0.00457140459814016,0.02690436183307601,-0.011670823401464548,0.02317718181223659,-0.08933583261285631,-0.07744779646592509,0.02338918881580432,-0.03298529312467153,1.0,,,,,,,,,,,,
Hb.Tot,0.0005697806649378741,0.17414358697201138,0.09524426307658466,0.026799764693859956,-0.16079880801131957,0.048128669370405934,0.3549017239595937,-0.307041232627827,-0.09159143808298294,0.12839304468387625,-0.04768539165421101,-0.1440847413503794,0.06735722484931207,0.2564320790069559,-0.11698094392748955,-0.14480649118429695,-0.07920735139469581,0.2519653360588296,0.10937141968143158,0.04702460495423742,1.0,,,,,,,,,,,
Hb.Inter,0.009470420482042543,0.028212754912197154,0.015840454527798357,0.014227120064070958,-0.047615264898926375,-0.0005274301099746887,0.1269389232064254,-0.12003692668529871,-0.06766557153494379,-0.11061094194424094,-0.12384053536113242,-0.15723408678863493,-0.0369365769032433,0.1805512792905136,-0.004310458945213384,-0.07772411027058143,-0.010864284603872006,-0.13457635694796508,0.45726197230606996,-0.003591101357299792,0.3106028413932282,1.0,,,,,,,,,,
Hb.Intra,-0.0023901769646088775,0.17445635281083585,0.09388484619010469,0.024127084556040127,-0.16557392491089643,0.04764962206306227,0.3348047666937571,-0.28640613143156274,-0.07510691463609465,0.1666993567318537,-0.01786770810077278,-0.10799971719482146,0.07816756511811669,0.21674065836809617,-0.12357147481753603,-0.13289648615477612,-0.08400810849560221,0.30032505581815117,-0.004967917463113885,0.05075174858687603,0.9563376210983877,0.062247171411565605,1.0,,,,,,,,,
Hb.IntraDist,0.008497182116947131,0.19330331217443777,0.11780648068621201,0.009618012284180992,-0.16562528298233348,0.04519921994544708,0.2873101236990776,-0.252969543065603,-0.12275596938620557,0.2379912176150473,0.029640928932339727,-0.04925033981073695,0.08980183324054256,0.19134108519002152,-0.15518238660480707,-0.1257200537582478,-0.1048010006877913,0.3703065986088545,-0.04894960676103593,0.03243071615633914,0.786454997846022,0.018567753898979814,0.823759000269083,1.0,,,,,,,,
Hb.SM,-0.003424058239663534,0.14429229640286384,0.06898067790664358,0.02199115975576571,-0.07047184393993412,0.0358561258466906,0.2464817156731114,-0.21443120732815998,-0.02669498973195623,0.08332179862360588,-0.0040901488898066754,-0.06345280836751789,0.05113079252992819,0.1322318384310088,-0.11449953193893339,-0.09289537873373781,-0.06873323647947673,0.21674259543349153,0.03760402616696971,0.028390716142495758,0.7604866832959134,0.15191708918663654,0.7530346167439234,0.5487646376678824,1.0,,,,,,,
Hb.SS,0.008341695720167373,0.12973627487597536,0.07128611600374325,0.02358370467463165,-0.15833892464099367,0.020149573398705704,0.2831678436196569,-0.25466720481246635,-0.11010855984074859,0.11785374245766407,-0.06619330639860553,-0.1519657370446083,0.05038661199460861,0.24615070758928434,-0.08353960977809843,-0.12960024193750877,-0.06699017996191117,0.17276700655171368,0.12876385792270328,0.02661789320025094,0.7527020794216314,0.3172315959956809,0.7000704317300275,0.660088301029633,0.23814600148165027,1.0,,,,,,
SPOTD.PDisorder,-0.08808016291717946,-0.14322212618342095,-0.11063296245951601,0.019099176217858026,0.061860044283075136,0.0007322565067528089,0.05981059768550648,-0.05848482476522862,0.07343690348196819,-0.19689352642652946,-0.6172372075107998,-0.4639350703214652,-0.5706295931353732,0.4097436453131812,0.3467930784831391,0.10313269866145695,0.25321544709811555,-0.3790474339744721,0.13885907583441576,0.03302496974781689,-0.04562401699797487,0.06144976702611489,-0.0651289061085503,-0.08627198212826231,-0.04499154857444386,-0.025943730219091538,1.0,,,,,
SPOTD.PCoil,0.000975096890473013,0.08929444098066867,0.009535307329716379,-0.05080620913441028,-0.042878119535745066,0.06178304128662982,0.0865094376636212,-0.06286971325744853,0.16672825570415825,-0.0096862246752174,-0.3650141211055951,-0.2746263790794089,-0.34622190341968784,0.23911895380764472,0.21000285781036637,0.01594922305832909,0.11322878280202624,-0.32535515943721427,0.046450280669769424,0.08194390476234813,0.014527046328307968,0.01840735716917899,0.010427899549100788,-0.020902812867207174,0.04053756313307592,-0.009934598525095139,0.38196144692847867,1.0,,,,
SPOTD.PSheet,0.03157627302348325,0.1257150589276962,0.08221995073878366,-0.031143294511846213,0.03420240474379805,0.06529184048533104,-0.048896533841628315,0.04642863513929581,-0.021028074940885946,0.17456549044079825,0.22258255552358489,0.20055230439834912,0.1510194687579703,-0.18650207645168274,-0.16088156525282857,-0.07739608936652229,-0.10848303856616048,0.112862317990692,-0.030527671582595062,0.062464043390889866,0.010388241895175078,-0.050746452271779076,0.021373578295127562,0.04707744019838609,0.0063790174322298655,0.009639035437489294,-0.17850379028681782,0.15686244070314248,1.0,,,
SPOTD.PHelix,0.03160913098842661,-0.09734378536069883,-0.031173888455771293,0.04702809392912277,0.024494554333527152,-0.06522795472795612,0.002302157472995447,-0.005414107056349729,-0.06482418286959087,-0.09755020487095505,0.04824082692723134,-0.00013483408991954177,0.07799696040841625,0.050894352593979515,-0.0011479443312697281,0.053039487588964936,0.012283257307698301,0.09569313959036607,0.0077516588823628415,-0.021719652815872344,0.007565536360546565,0.03403065477856404,0.0004280285922391215,-0.01095312753376478,-0.003408203208370398,0.011266936932654842,0.054064408554798826,-0.5346895085845154,-0.7408608059574597,1.0,,
MaestroddG,0.045432481595025,0.12885078473393327,0.01848150698754433,-0.02841133718983067,0.05991443009958243,0.018776735261673474,-0.11882915457977984,0.20019464452362656,-0.4306279553273725,0.1615468913787817,0.06102140979723417,0.12872015072761597,-0.040419946474665874,-0.07936387875167966,-0.20773229658129921,-0.1619606714746355,-0.10241737559143217,0.2610793722437847,-0.01812760989998101,0.03708397105481569,0.04818611772014236,0.002888672117775564,0.051586879600035,0.07861878624590143,0.019146895863294912,0.05650843552858348,-0.08399867600273343,-0.011136615812665446,0.10418425782222447,-0.08171908217768795,1.0,
FoldXddG,0.1795219239813878,0.2678977976161332,0.3194686745293276,-0.32494143893847,-0.15388185319849776,0.2685149377503274,-0.2622481195422497,0.23484496447603415,0.04831737530834525,0.18314012305866756,0.21337301071821166,0.282280185373194,0.036391574629210624,-0.3783051386874136,-0.4826940673681267,-0.20710669857021605,-0.2506838853709775,0.31005321857179896,-0.03022786165417977,-0.037677808992023956,-0.0075825305996979,-0.010344875199830236,-0.003487251073236556,0.05497386585741948,0.013190368092499207,0.00888258545750193,-0.15057193835538463,-0.0002505135924882424,0.10557645102858329,-0.08716413137655024,0.20434039297032122,1.0
